Code	Terminology	Kind	Usage	Line
$scr	scripting additions folder	Property of class: domain	System Events : Disk-Folder-File Suite	1
%doc	music folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	2
µdoc	music folder	Enumeration	Standard Additions : File Commands	3
ƒhlp	help	Enumeration	Standard Additions : File Commands	4
ƒhlp	help folder	Enumeration	Standard Additions : File Commands	5
ƒlib	shared libraries	Enumeration	Standard Additions : File Commands	6
ƒlib	shared libraries folder	Enumeration	Standard Additions : File Commands	7
ƒmod	modem scripts	Enumeration	Standard Additions : File Commands	8
ƒmod	modem scripts folder	Enumeration	Standard Additions : File Commands	9
ƒnet	internet plugins	Enumeration	Standard Additions : File Commands	10
ƒnet	internet plugins folder	Enumeration	Standard Additions : File Commands	11
ƒnet	plugins	Enumeration	Standard Additions : File Commands	12
ƒprd	printer drivers	Enumeration	Standard Additions : File Commands	13
ƒprd	printer drivers folder	Enumeration	Standard Additions : File Commands	14
ƒscr	scripting additions	Enumeration	Standard Additions : File Commands	15
ƒscr	scripting additions folder	Enumeration	Standard Additions : File Commands	16
≠  	≠	Command	AppleScript Language	17
*  	*	Command	AppleScript Language	18
****	anything	Class	AppleScript Language	19
+  	+	Command	AppleScript Language	20
-  	-	Command	AppleScript Language	21
/  	÷	Command	AppleScript Language	22
<  	<	Command	AppleScript Language	23
<=  	≤	Command	AppleScript Language	24
=  	=	Command	AppleScript Language	25
>  	>	Command	AppleScript Language	26
>=  	≥	Command	AppleScript Language	27
^  	^	Command	AppleScript Language	28
abou	about	Parameter of command: Call•subroutine	AppleScript Language	31
abve	above	Parameter of command: Call•subroutine	AppleScript Language	32
acha	audio channel count	Property of class: track	System Events : QuickTime File Suite	34
actT	action	Class	System Events : Processes Suite	43
actT	actions	Class	System Events : Processes Suite	45
actv	activate	Command	AppleScript Language	49
actv	activate	Command	Finder : Standard Suite	50
addr	from address	Parameter of command: handle CGI request	Standard Additions : Internet Suite	51
aete	application dictionary	Class	AppleScript Language	54
aeut	system dictionary	Class	AppleScript Language	55
afp	afp URL	Enumeration	Standard Additions : Internet Suite	56
agcp	application "AppName"	Enumeration	Standard Additions : File Commands	60
agcp	current application	Enumeration	Standard Additions : File Commands	61
agcp	it	Enumeration	Standard Additions : File Commands	62
agcp	me	Enumeration	Standard Additions : File Commands	63
Agnt	from browser	Parameter of command: handle CGI request	Standard Additions : Internet Suite	64
agst	against	Parameter of command: Call•subroutine	AppleScript Language	65
alcp	all caps	Enumeration	AppleScript Language	67
alen	altering line endings	Parameter of command: do shell script	Standard Additions : Miscellaneous Commands	72
aleR	alert reply	Class	Standard Additions : User Interaction	75
alia	alias file	Class	Finder : Files	79
alia	alias files	Class	Finder : Files	80
alis	alias	Class	AppleScript Language	84
alis	alias	Class	System Events : Disk-Folder-File Suite	85
alis	alias	Property of class: file information	Standard Additions : File Commands	86
alis	aliases	Class	AppleScript Language	87
alis	aliases	Class	System Events : Disk-Folder-File Suite	88
alrp	replacing	Parameter of command: duplicate	Finder : Standard Suite	103
alrp	replacing	Parameter of command: move	Finder : Standard Suite	104
alst	alias list	Class	Finder : Type Definitions	105
alvl	alert volume	Parameter of command: set volume	Standard Additions : Miscellaneous Commands	113
alvl	alert volume	Property of class: volume settings	Standard Additions : Miscellaneous Commands	114
amnu	apple menu	Enumeration	Standard Additions : File Commands	115
amnu	apple menu folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	116
amnu	apple menu items	Enumeration	Standard Additions : File Commands	117
amnu	apple menu items folder	Enumeration	Standard Additions : File Commands	118
AND	and	Command	AppleScript Language	119
anno	annotation	Class	System Events : QuickTime File Suite	122
anot	full text	Property of class: annotation	System Events : QuickTime File Suite	123
apnl	Application panel	Enumeration	Finder : Enumerations	126
appf	application file	Class	Finder : Files	127
appf	application file	Property of class: application process	Finder : Legacy suite	128
appf	application file	Property of class: application process	System Events : Processes Suite	129
appf	application files	Class	Finder : Files	130
appr	with title	Parameter of command: choose application	Standard Additions : User Interaction	132
appr	with title	Parameter of command: choose from list	Standard Additions : User Interaction	133
appr	with title	Parameter of command: choose remote application	Standard Additions : User Interaction	134
appr	with title	Parameter of command: display dialog	Standard Additions : User Interaction	135
apps	applications folder	Enumeration	Standard Additions : File Commands	136
apps	applications folder	Property of class: application	System Events : System Events Suite	137
apps	applications folder	Property of class: domain	System Events : Disk-Folder-File Suite	138
apps	At Ease applications	Enumeration	Standard Additions : File Commands	139
